percentage,time,cyan,magenta
0.0,0.0,0.3860553515621499,0.016160541830155382
1.0,0.1475,0.3783038029749117,0.012062660094063447
2.0,0.295,0.3807784906122604,0.008894525522480701
3.0,0.4425,0.36846151434337515,0.00884314033242579
4.0,0.59,0.33151776736161864,0.00788652911506408
5.0,0.7375,0.3169207640271281,0.0058110598468432495
6.0,0.885,0.308421424213372,0.005522058725985513
7.0,1.0325,0.30731840519600306,0.004908412667973068
8.0,1.18,0.3234762373057458,0.0031631094440092585
9.0,1.3275,0.34443426300660873,0.0018239170856558446
10.0,1.475,0.3845836360516973,0.0016434466504241028
11.0,1.6225,0.4350304020410781,0.0029601209737625087
12.0,1.77,0.4668262539059531,0.0030210867648281744
13.0,1.9175,0.49239726959655955,0.0011296704118877014
14.0,2.065,0.5280048041792429,0.0007397495093282743
15.0,2.2125,0.5665656438471028,0.001018918875272657
16.0,2.36,0.6205939601840464,0.0011335937630275546
17.0,2.5075,0.6550592484018574,0.0013625827727196801
18.0,2.655,0.6875156091012031,0.0015701293894961267
19.0,2.8025,0.7236177499834735,0.0018458246226611451
20.0,2.95,0.7439345720017541,0.0027721193166749467
21.0,3.0975,0.7724762919630155,0.004108230876284893
22.0,3.245,0.78468684621645,0.004432531257275861
23.0,3.3925,0.8147347313406482,0.004715493555644292
24.0,3.54,0.8442682113291695,0.005732576484816956
25.0,3.6875,0.8504231420724407,0.007384174402875424
26.0,3.835,0.8621519086654716,0.009251680831881087
27.0,3.9825,0.8880009775282627,0.011783950826493594
28.0,4.13,0.939636182787919,0.015274708210621199
29.0,4.2775,0.9776502051242193,0.02089041352959129
30.0,4.425,0.9931737506047841,0.028134214376465638
31.0,4.5725,0.9857836833536062,0.03749339283910229
32.0,4.72,0.9598071420219682,0.050116337327603025
33.0,4.8675,0.9167714701556184,0.06439455483430319
34.0,5.015,0.861980800209986,0.0809468467400275
35.0,5.1625,0.8075974751808123,0.10025489155191375
36.0,5.31,0.7253508585668093,0.11930169599037938
37.0,5.4575,0.6380602536311207,0.14173744989097928
38.0,5.605,0.5367136408622202,0.16523502340094143
39.0,5.7525,0.42944431293969054,0.18916420865312472
40.0,5.9,0.32431935785003296,0.2139201724440769
41.0,6.0475,0.23023065388955818,0.24812409598344162
42.0,6.195,0.15016815279582507,0.2770448305608097
43.0,6.3425,0.10357416611793761,0.3015094483128814
44.0,6.49,0.07566587332745892,0.33482733452272007
45.0,6.6375,0.07583331379626046,0.3781140278652612
46.0,6.785,0.07499585071581322,0.4051785205520777
47.0,6.9325,0.06278934360204387,0.41335845624175493
48.0,7.08,0.07408207739274499,0.4268726798232006
49.0,7.2275,0.06823792549444745,0.44746759695306987
50.0,7.375,0.038349477467653256,0.4767823404415007
51.0,7.5225,0.031322695901577505,0.49379265892419766
52.0,7.67,0.023339622202755584,0.5014653469429008
53.0,7.8175,0.018736359946998828,0.5046153919247919
54.0,7.965,0.03025801102900985,0.5301302391458438
55.0,8.1125,0.033537685591262086,0.5522902085783016
56.0,8.26,0.03117454480990943,0.564922638474947
57.0,8.4075,0.027277448349135647,0.5674041995801785
58.0,8.555,0.024995912690816875,0.5780949088175226
59.0,8.7025,0.024038257097637936,0.5962677094492945
60.0,8.85,0.026080418218093423,0.6258639632443872
61.0,8.9975,0.029622295640426326,0.6501403383117266
62.0,9.145,0.034295280957645086,0.6698242762198333
63.0,9.2925,0.03813066193343562,0.6662416589467015
64.0,9.44,0.030821352974329922,0.6621128433402765
65.0,9.5875,0.025374806918152262,0.6681653959879901
66.0,9.735,0.025536851301947255,0.6912800736727234
67.0,9.8825,0.02021589318371593,0.7016635703714946
68.0,10.03,0.015561927318330135,0.6975956182433104
69.0,10.1775,0.02208984862505268,0.692629601998029
70.0,10.325,0.031807457398090135,0.716184584557158
71.0,10.4725,0.03651423576675316,0.7475272813267102
72.0,10.62,0.0408951811675346,0.755515325855709
73.0,10.7675,0.03970800867333235,0.7617294275457583
74.0,10.915,0.038735599210806416,0.7703808291176168
75.0,11.0625,0.037099074139089167,0.7798423966830245
76.0,11.21,0.03303366097226377,0.7795457555343892
77.0,11.3575,0.03235013837884671,0.7997874170788981
78.0,11.505,0.03168080120921356,0.8288168443815835
79.0,11.6525,0.038872992891983316,0.8535909416926879
80.0,11.8,0.04330950422168337,0.877170722803067
81.0,11.9475,0.03816364135847489,0.8968013377987962
82.0,12.095,0.03909386051502474,0.921692513193326
83.0,12.2425,0.04251469048857181,0.9066269092488972
84.0,12.39,0.03432603402809703,0.8749680533698106
85.0,12.5375,0.03286755918091994,0.8731781472982741
86.0,12.685,0.03795854385997281,0.8983156208808535
87.0,12.8325,0.03674896639456348,0.9297557852556975
88.0,12.98,0.03577612707773582,0.9478249563270261
89.0,13.1275,0.038947461343949163,0.9551950496808468
90.0,13.275,0.0332817557120689,0.9584331478960726
91.0,13.4225,0.03120124598348037,0.9595296945292415
92.0,13.57,0.040546371958140245,0.949606098262049
93.0,13.7175,0.06240345796685526,0.9320165843914019
94.0,13.865,0.11219945055918133,0.8738155251702373
95.0,14.0125,0.18522332802154706,0.7746254987171083
96.0,14.16,0.2811806200236102,0.6218824387178579
97.0,14.3075,0.33278864273933934,0.5086393538808868
98.0,14.455,0.3647090087812236,0.35771218979107994
99.0,14.6025,0.38640090105499314,0.22631123443587978
100.0,14.75,0.406611409476937,0.13269225975858137
